Session_ID,Date,Start_Time,Charging_Station,Vehicle_Type,Purpose,User_Age,User_Gender,Energy_Consumed_kWh,Charging_Duration_Min,Charging_Cost_INR,Payment_Method,Day_of_Week,Hour,Peak_Hour,Energy_per_Min_kWh,Cost_per_kWh_INR,User_Age_Group,Charging_Duration_Group,Session_Month
1,21-02-2026,20:00,Ameerpet Charge Point,Car,Office Commute,28,Male,31.76,70,408.29,Wallet,Saturday,20,Yes,0.454,12.86,26-35,Medium (46-90 min),February
2,22-01-2026,09:00,Ameerpet Charge Point,Car,Office Commute,38,Male,42.97,99,517.49,UPI,Thursday,9,No,0.434,12.04,36-50,Long (>90 min),January
3,18-02-2026,14:00,Hitech City EV,Scooter,Office Commute,20,Female,3.89,76,57.15,Card,Wednesday,14,No,0.051,14.69,18-25,Medium (46-90 min),February
4,04-01-2026,20:00,Ameerpet Charge Point,Bike,Office Commute,37,Male,10.32,76,161.66,Cash,Sunday,20,Yes,0.136,15.66,36-50,Medium (46-90 min),January
5,16-02-2026,11:00,Hitech City EV,Scooter,Office Commute,23,Male,6.46,67,78.76,Card,Monday,11,No,0.096,12.19,18-25,Medium (46-90 min),February
6,31-03-2026,13:00,LB Nagar EV Station,Scooter,Office Commute,38,Male,20.61,45,349.74,Card,Tuesday,13,No,0.458,16.97,36-50,Short (45 min),March
7,30-03-2026,12:00,Kukatpally Charge Hub,Bike,Office Commute,24,Male,5.68,54,78.13,Wallet,Monday,12,No,0.105,13.76,18-25,Medium (46-90 min),March
8,11-01-2026,11:00,Secunderabad Central,Car,Office Commute,45,Female,38.08,100,532.5,Cash,Sunday,11,No,0.381,13.98,36-50,Long (>90 min),January
9,23-01-2026,16:00,LB Nagar EV Station,Bike,Ride Sharing,18,Male,14.23,97,243.32,UPI,Friday,16,No,0.147,17.1,18-25,Long (>90 min),January
10,31-03-2026,12:00,Ameerpet Charge Point,Scooter,Office Commute,30,Male,3.77,92,55.97,UPI,Tuesday,12,No,0.041,14.85,26-35,Long (>90 min),March
11,04-01-2026,19:00,Secunderabad Central,Scooter,Office Commute,30,Male,10.8,46,140.01,Card,Sunday,19,Yes,0.235,12.96,26-35,Medium (46-90 min),January
12,11-02-2026,17:00,Hitech City EV,Bike,Office Commute,37,Female,19.56,65,329.44,Cash,Wednesday,17,Yes,0.301,16.84,36-50,Medium (46-90 min),February
13,30-03-2026,12:00,LB Nagar EV Station,Scooter,Office Commute,30,Female,7.33,25,110.43,UPI,Monday,12,No,0.293,15.07,26-35,Short (45 min),March
14,03-03-2026,11:00,Secunderabad Central,Scooter,Office Commute,49,Male,9.41,55,116.64,Card,Tuesday,11,No,0.171,12.4,36-50,Medium (46-90 min),March
15,21-02-2026,12:00,Kukatpally Charge Hub,Bike,Office Commute,34,Male,16.53,98,239.17,Wallet,Saturday,12,No,0.169,14.47,26-35,Long (>90 min),February
16,01-01-2026,12:00,LB Nagar EV Station,Scooter,Office Commute,21,Male,12.3,52,165.47,Card,Thursday,12,No,0.237,13.45,18-25,Medium (46-90 min),January
17,24-01-2026,14:00,Uppal EV Hub,Car,Office Commute,23,Female,25.16,125,351.14,Cash,Saturday,14,No,0.201,13.96,18-25,Long (>90 min),January
18,19-01-2026,16:00,Hitech City EV,Car,Business,35,Female,23.51,105,385.76,Card,Monday,16,No,0.224,16.41,26-35,Long (>90 min),January
19,23-01-2026,14:00,Ameerpet Charge Point,Bike,Business,19,Other,7.34,97,112.7,Cash,Friday,14,No,0.076,15.35,18-25,Long (>90 min),January
20,09-01-2026,12:00,Hitech City EV,Car,Ride Sharing,50,Female,39.94,43,518.01,Card,Friday,12,No,0.929,12.97,36-50,Short (45 min),January
21,25-03-2026,15:00,Uppal EV Hub,Scooter,Office Commute,35,Male,20.86,58,374.83,Cash,Wednesday,15,No,0.36,17.97,26-35,Medium (46-90 min),March
22,02-02-2026,07:00,Secunderabad Central,Bike,Delivery,50,Male,6.4,63,101.2,Card,Monday,7,No,0.102,15.81,36-50,Medium (46-90 min),February
23,30-01-2026,21:00,Secunderabad Central,Scooter,Personal,38,Male,19.95,68,298.34,UPI,Friday,21,Yes,0.293,14.95,36-50,Medium (46-90 min),January
24,02-03-2026,14:00,Uppal EV Hub,Bike,Business,47,Female,17.6,93,250.32,UPI,Monday,14,No,0.189,14.22,36-50,Long (>90 min),March
25,06-02-2026,20:00,Secunderabad Central,Scooter,Business,38,Male,21.37,45,318.61,Card,Friday,20,Yes,0.475,14.91,36-50,Short (45 min),February
26,25-01-2026,13:00,LB Nagar EV Station,Car,Office Commute,49,Female,42.69,72,577.39,Card,Sunday,13,No,0.593,13.53,36-50,Medium (46-90 min),January
27,02-01-2026,12:00,LB Nagar EV Station,Car,Office Commute,46,Male,16.51,79,223.48,Cash,Friday,12,No,0.209,13.54,36-50,Medium (46-90 min),January
28,13-01-2026,09:00,Hitech City EV,Scooter,Delivery,33,Male,14.93,91,181.63,Card,Tuesday,9,No,0.164,12.17,26-35,Long (>90 min),January
29,07-03-2026,13:00,Ameerpet Charge Point,Bike,Personal,39,Male,9.23,27,112.89,Card,Saturday,13,No,0.342,12.23,36-50,Short (45 min),March
30,15-01-2026,13:00,Kukatpally Charge Hub,Scooter,Office Commute,22,Male,12.92,88,170.14,Card,Thursday,13,No,0.147,13.17,18-25,Medium (46-90 min),January
31,16-02-2026,16:00,Ameerpet Charge Point,Scooter,Personal,47,Male,5.52,54,80.63,Card,Monday,16,No,0.102,14.61,36-50,Medium (46-90 min),February
32,24-02-2026,12:00,Uppal EV Hub,Scooter,Delivery,18,Male,4.54,36,61.25,Card,Tuesday,12,No,0.126,13.49,18-25,Short (45 min),February
33,17-02-2026,11:00,Kukatpally Charge Hub,Car,Delivery,22,Male,33.06,79,445.9,Cash,Tuesday,11,No,0.418,13.49,18-25,Medium (46-90 min),February
34,20-02-2026,17:00,Kukatpally Charge Hub,Scooter,Office Commute,47,Female,5.21,77,77.27,Card,Friday,17,Yes,0.068,14.83,36-50,Medium (46-90 min),February
35,31-03-2026,14:00,LB Nagar EV Station,Bike,Delivery,27,Female,6.29,91,85.34,Card,Tuesday,14,No,0.069,13.57,26-35,Long (>90 min),March
36,19-01-2026,14:00,Hitech City EV,Car,Personal,33,Female,33.74,37,523.42,Wallet,Monday,14,No,0.912,15.51,26-35,Short (¤45 min),January
37,25-03-2026,15:00,Uppal EV Hub,Scooter,Ride Sharing,54,Female,15.22,86,242.17,Wallet,Wednesday,15,No,0.177,15.91,51+,Medium (46-90 min),March
38,13-02-2026,12:00,Kukatpally Charge Hub,Scooter,Office Commute,52,Male,10.17,74,145.53,Card,Friday,12,No,0.137,14.31,51+,Medium (46-90 min),February
39,31-03-2026,13:00,Ameerpet Charge Point,Scooter,Delivery,28,Female,12.42,80,208.99,UPI,Tuesday,13,No,0.155,16.83,26-35,Medium (46-90 min),March
40,05-02-2026,11:00,Uppal EV Hub,Car,Delivery,53,Male,38.63,116,542.49,Card,Thursday,11,No,0.333,14.04,51+,Long (>90 min),February
41,06-02-2026,12:00,Secunderabad Central,Bike,Office Commute,34,Male,17.06,62,244.58,UPI,Friday,12,No,0.275,14.34,26-35,Medium (46-90 min),February
42,28-02-2026,10:00,Secunderabad Central,Scooter,Office Commute,24,Female,21.21,75,315.96,Card,Saturday,10,No,0.283,14.9,18-25,Medium (46-90 min),February
43,16-01-2026,13:00,Secunderabad Central,Scooter,Office Commute,40,Female,9.24,33,162.57,Card,Friday,13,No,0.28,17.59,36-50,Short (45 min),January
44,08-02-2026,22:00,Kukatpally Charge Hub,Scooter,Office Commute,35,Other,17,76,289.43,UPI,Sunday,22,No,0.224,17.03,26-35,Medium (46-90 min),February
45,07-01-2026,13:00,Secunderabad Central,Scooter,Delivery,22,Male,10.54,42,163.19,UPI,Wednesday,13,No,0.251,15.48,18-25,Short (45 min),January
46,06-03-2026,19:00,Kukatpally Charge Hub,Scooter,Delivery,23,Female,20.25,61,288.87,Wallet,Friday,19,Yes,0.332,14.27,18-25,Medium (46-90 min),March
47,15-03-2026,19:00,Kukatpally Charge Hub,Scooter,Personal,37,Male,12.36,33,196.46,UPI,Sunday,19,Yes,0.375,15.89,36-50,Short (45 min),March
48,03-01-2026,15:00,Uppal EV Hub,Car,Office Commute,50,Male,24.37,136,294.23,Cash,Saturday,15,No,0.179,12.07,36-50,Long (>90 min),January
49,14-02-2026,08:00,Secunderabad Central,Car,Business,53,Male,29.41,136,445.29,UPI,Saturday,8,No,0.216,15.14,51+,Long (>90 min),February
50,18-02-2026,16:00,LB Nagar EV Station,Bike,Personal,40,Male,14.92,46,264.18,Cash,Wednesday,16,No,0.324,17.71,36-50,Medium (46-90 min),February
51,17-03-2026,10:00,Hitech City EV,Scooter,Personal,45,Male,6.22,98,111.52,Card,Tuesday,10,No,0.063,17.93,36-50,Long (>90 min),March
52,04-03-2026,14:00,Hitech City EV,Scooter,Office Commute,30,Female,18.46,86,326.76,Cash,Wednesday,14,No,0.215,17.7,26-35,Medium (46-90 min),March
53,10-03-2026,15:00,Ameerpet Charge Point,Scooter,Personal,22,Male,20.72,53,349.44,Cash,Tuesday,15,No,0.391,16.86,18-25,Medium (46-90 min),March
54,18-02-2026,13:00,Secunderabad Central,Car,Ride Sharing,30,Male,24.97,38,319.68,UPI,Wednesday,13,No,0.657,12.8,26-35,Short (45 min),February
55,24-02-2026,18:00,LB Nagar EV Station,Car,Business,40,Female,44.99,134,769.25,UPI,Tuesday,18,Yes,0.336,17.1,36-50,Long (>90 min),February
56,26-03-2026,13:00,Kukatpally Charge Hub,Scooter,Office Commute,18,Female,21.13,71,298.92,Cash,Thursday,13,No,0.298,14.15,18-25,Medium (46-90 min),March
57,08-02-2026,16:00,Secunderabad Central,Bike,Office Commute,18,Male,17.67,67,305.05,UPI,Sunday,16,No,0.264,17.26,18-25,Medium (46-90 min),February
58,17-01-2026,10:00,Kukatpally Charge Hub,Scooter,Delivery,28,Male,17.35,35,209.69,Card,Saturday,10,No,0.496,12.09,26-35,Short (45 min),January
